locus_tag	source_pgap	type_pgap	start_pgap	end_pgap	score_pgap	strand_pgap	phase_pgap	attributes_pgap	product_pgap	seed_ortholog_eggnog	evalue_eggnog	score_eggnog	eggNOG_OGs_eggnog	max_annot_lvl_eggnog	COG_category_eggnog	Description_eggnog	Preferred_name_eggnog	GOs_eggnog	EC_eggnog	KEGG_ko_eggnog	KEGG_Pathway_eggnog	KEGG_Module_eggnog	KEGG_Reaction_eggnog	KEGG_rclass_eggnog	BRITE_eggnog	KEGG_TC_eggnog	CAZy_eggnog	BiGG_Reaction_eggnog	PFAMs_eggnog	GenomeID_transapp	FID_transapp	Subfamily_transapp	Substrate/Function_transapp	ID_tcdb_org_transapp	KO_blastkoala	KO_definition_blastkoala
pgaptmp_001567	Protein Homology	CDS	77664	77978		-	0	ID=cds-pgaptmp_001567;Parent=gene-pgaptmp_001567;Name=extdb:pgaptmp_001567;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_002565218.1;locus_tag=pgaptmp_001567;product=DUF1540 domain-containing protein;protein_id=extdb:pgaptmp_001567;transl_table=11	DUF1540 domain-containing protein	742741.HMPREF9475_01515	2.64E-77	229	2DP3R@1|root,330E2@2|Bacteria,1VEPT@1239|Firmicutes,24QJB@186801|Clostridia,220N0@1506553|Lachnoclostridium	186801|Clostridia	S	Domain of Unknown Function (DUF1540)													DUF1540							
pgaptmp_001568	Protein Homology	CDS	78094	80028		-	0	ID=cds-pgaptmp_001568;Parent=gene-pgaptmp_001568;Name=extdb:pgaptmp_001568;Ontology_term=GO:0006435,GO:0004829,GO:0005524,GO:0005737;gbkey=CDS;gene=thrS;go_component=cytoplasm|0005737||IEA;go_function=threonine-tRNA ligase activity|0004829||IEA,ATP binding|0005524||IEA;go_process=threonyl-tRNA aminoacylation|0006435||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_005333086.1;locus_tag=pgaptmp_001568;product=threonine--tRNA ligase;protein_id=extdb:pgaptmp_001568;transl_table=11	threonine--tRNA ligase	742741.HMPREF9475_01516	0	1284	COG0441@1|root,COG0441@2|Bacteria,1TP78@1239|Firmicutes,248CH@186801|Clostridia,21YC0@1506553|Lachnoclostridium	186801|Clostridia	J	Catalyzes the attachment of threonine to tRNA(Thr) in a two-step reaction L-threonine is first activated by ATP to form Thr-AMP and then transferred to the acceptor end of tRNA(Thr)	thrS		6.1.1.3	ko:K01868	ko00970,map00970	M00359,M00360	R03663	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016				HGTP_anticodon,TGS,tRNA-synt_2b,tRNA_SAD						K01868	TARS, thrS; threonyl-tRNA synthetase [EC:6.1.1.3]
pgaptmp_001569	Protein Homology	CDS	80556	81083		-	0	ID=cds-pgaptmp_001569;Parent=gene-pgaptmp_001569;Name=extdb:pgaptmp_001569;Ontology_term=GO:0008080,GO:0016746;gbkey=CDS;go_function=N-acetyltransferase activity|0008080||IEA,acyltransferase activity|0016746||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004462066.1;locus_tag=pgaptmp_001569;product=GNAT family N-acetyltransferase;protein_id=extdb:pgaptmp_001569;transl_table=11	GNAT family N-acetyltransferase	742741.HMPREF9475_01517	2.41E-123	351	COG0454@1|root,COG0456@2|Bacteria,1VGZX@1239|Firmicutes,24I40@186801|Clostridia,220KA@1506553|Lachnoclostridium	186801|Clostridia	K	Acetyltransferase (GNAT) family													Acetyltransf_1							
pgaptmp_001570	Protein Homology	CDS	81052	82461		-	0	ID=cds-pgaptmp_001570;Parent=gene-pgaptmp_001570;Name=extdb:pgaptmp_001570;Ontology_term=GO:0006855,GO:0055085,GO:0015297,GO:0042910,GO:0016020;gbkey=CDS;go_component=membrane|0016020||IEA;go_function=antiporter activity|0015297||IEA,xenobiotic transmembrane transporter activity|0042910||IEA;go_process=xenobiotic transmembrane transport|0006855||IEA,transmembrane transport|0055085||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004462067.1;locus_tag=pgaptmp_001570;product=MATE family efflux transporter;protein_id=extdb:pgaptmp_001570;transl_table=11	MATE family efflux transporter	742741.HMPREF9475_01518	0	900	COG0534@1|root,COG0534@2|Bacteria,1TPFM@1239|Firmicutes,247J9@186801|Clostridia,21Z0I@1506553|Lachnoclostridium	186801|Clostridia	V	MatE													MatE	cc11824	MOP	MATE	multidrug efflux	2.A.66	K26937	dinF, mepA, vmrA; MATE family, multidrug efflux pump
pgaptmp_001571	Protein Homology	CDS	82669	83946		-	0	ID=cds-pgaptmp_001571;Parent=gene-pgaptmp_001571;Name=extdb:pgaptmp_001571;Ontology_term=GO:0005975,GO:0016787;gbkey=CDS;go_function=hydrolase activity|0016787||IEA;go_process=carbohydrate metabolic process|0005975||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009298565.1;locus_tag=pgaptmp_001571;product=glycoside hydrolase family 10 protein;protein_id=extdb:pgaptmp_001571;transl_table=11	glycoside hydrolase family 10 protein	742741.HMPREF9475_01519	0	892	COG1649@1|root,COG1649@2|Bacteria,1TRTG@1239|Firmicutes,24B2F@186801|Clostridia,22239@1506553|Lachnoclostridium	186801|Clostridia	S	Glycosyl hydrolase-like 10													CW_binding_2,GHL10,SLH							
pgaptmp_001572	Protein Homology	CDS	84400	84762		+	0	ID=cds-pgaptmp_001572;Parent=gene-pgaptmp_001572;Name=extdb:pgaptmp_001572;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003507712.1;locus_tag=pgaptmp_001572;product=hemolysin XhlA family protein;protein_id=extdb:pgaptmp_001572;transl_table=11	hemolysin XhlA family protein	742741.HMPREF9475_01520	1.38E-41	140	COG1196@1|root,COG1196@2|Bacteria,1VNCS@1239|Firmicutes	1239|Firmicutes	D	nuclear chromosome segregation													XhlA							
pgaptmp_001573	Protein Homology	CDS	84896	85453		-	0	ID=cds-pgaptmp_001573;Parent=gene-pgaptmp_001573;Name=extdb:pgaptmp_001573;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004462072.1;locus_tag=pgaptmp_001573;product=hypothetical protein;protein_id=extdb:pgaptmp_001573;transl_table=11	hypothetical protein	665950.HMPREF1025_01974	4.67E-19	89	arCOG05185@1|root,2Z9G9@2|Bacteria,1TZZQ@1239|Firmicutes,248TN@186801|Clostridia,27NHP@186928|unclassified Lachnospiraceae	186801|Clostridia	S	Psort location Cytoplasmic, score																				
pgaptmp_001574	GeneMarkS-2+	CDS	85736	86407		-	0	ID=cds-pgaptmp_001574;Parent=gene-pgaptmp_001574;Name=extdb:pgaptmp_001574;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=pgaptmp_001574;product=hypothetical protein;protein_id=extdb:pgaptmp_001574;transl_table=11	hypothetical protein	742740.HMPREF9474_01529	2.48E-149	437	COG1479@1|root,COG1479@2|Bacteria,1UMXQ@1239|Firmicutes,25GS1@186801|Clostridia	186801|Clostridia	S	Protein of unknown function DUF262																				
pgaptmp_001575	Protein Homology	CDS	86533	86652		-	0	ID=cds-pgaptmp_001575;Parent=gene-pgaptmp_001575;Note=incomplete%3B partial in the middle of a contig%3B missing C-terminus;gbkey=CDS;inference=COORDINATES: protein motif:HMM:NF015210.6;locus_tag=pgaptmp_001575;product=hypothetical protein;pseudo=true;transl_table=11	hypothetical protein	742740.HMPREF9474_01529	7.44E-20	87.4	COG1479@1|root,COG1479@2|Bacteria,1UMXQ@1239|Firmicutes,25GS1@186801|Clostridia	186801|Clostridia	S	Protein of unknown function DUF262																				
pgaptmp_001576	GeneMarkS-2+	CDS	86715	87392		-	0	ID=cds-pgaptmp_001576;Parent=gene-pgaptmp_001576;Name=extdb:pgaptmp_001576;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=pgaptmp_001576;product=sigma factor;protein_id=extdb:pgaptmp_001576;transl_table=11	sigma factor	742740.HMPREF9474_01529	7.62E-149	436	COG1479@1|root,COG1479@2|Bacteria,1UMXQ@1239|Firmicutes,25GS1@186801|Clostridia	186801|Clostridia	S	Protein of unknown function DUF262																				
pgaptmp_001577	Protein Homology	CDS	87541	88296		+	0	ID=cds-pgaptmp_001577;Parent=gene-pgaptmp_001577;Name=extdb:pgaptmp_001577;Ontology_term=GO:0016032,GO:0005198;gbkey=CDS;go_function=structural molecule activity|0005198||IEA;go_process=viral process|0016032||IEA;inference=COORDINATES: protein motif:HMM:TIGR01760.1;locus_tag=pgaptmp_001577;product=phage tail tape measure protein;protein_id=extdb:pgaptmp_001577;transl_table=11	phage tail tape measure protein	742741.HMPREF9475_01524	3.38E-164	461	COG1196@1|root,COG1196@2|Bacteria,1VDST@1239|Firmicutes,24EB1@186801|Clostridia,222RI@1506553|Lachnoclostridium	186801|Clostridia	D	Phage-related minor tail protein													PhageMin_Tail							
pgaptmp_001578	Protein Homology	CDS	88742	89079		+	0	ID=cds-pgaptmp_001578;Parent=gene-pgaptmp_001578;Name=extdb:pgaptmp_001578;end_range=89079,.;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_212694908.1;locus_tag=pgaptmp_001578;partial=true;product=IS256 family transposase;protein_id=extdb:pgaptmp_001578;transl_table=11	IS256 family transposase	742741.HMPREF9475_01525	4.97E-70	211	COG3328@1|root,COG3328@2|Bacteria,1TP4C@1239|Firmicutes,248UI@186801|Clostridia,21YMR@1506553|Lachnoclostridium	186801|Clostridia	L	COG COG3328 Transposase and inactivated derivatives													Transposase_mut						K07493	K07493; putative transposase
pgaptmp_001579	Protein Homology	CDS	89597	89925		+	2	ID=cds-pgaptmp_001579;Parent=gene-pgaptmp_001579;Name=extdb:pgaptmp_001579;Ontology_term=GO:0006313,GO:0003677,GO:0004803;gbkey=CDS;go_function=DNA binding|0003677||IEA,transposase activity|0004803||IEA;go_process=DNA transposition|0006313||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_115623313.1;locus_tag=pgaptmp_001579;partial=true;product=transposase;protein_id=extdb:pgaptmp_001579;start_range=.,89597;transl_table=11	transposase	658655.HMPREF0988_03183	7.56E-71	214	COG3328@1|root,COG3328@2|Bacteria,1W73M@1239|Firmicutes,25IUV@186801|Clostridia,27SS4@186928|unclassified Lachnospiraceae	186801|Clostridia	L	Transposase, Mutator family													Transposase_mut						K07493	K07493; putative transposase
pgaptmp_001580	Protein Homology	CDS	90126	90746		-	0	ID=cds-pgaptmp_001580;Parent=gene-pgaptmp_001580;Name=extdb:pgaptmp_001580;Ontology_term=GO:0006412,GO:0003735;gbkey=CDS;go_function=structural constituent of ribosome|0003735||IEA;go_process=translation|0006412||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003507724.1;locus_tag=pgaptmp_001580;product=ribosomal protein L7/L12;protein_id=extdb:pgaptmp_001580;transl_table=11	ribosomal protein L7/L12	742741.HMPREF9475_01527	2.17E-125	358	2EIDF@1|root,33C4U@2|Bacteria,1VKCE@1239|Firmicutes,24VZ9@186801|Clostridia,223D5@1506553|Lachnoclostridium	186801|Clostridia	S	zinc-ribbon domain													Ribosomal_L12,zinc_ribbon_2							
pgaptmp_001581	Protein Homology	CDS	90836	91246		-	0	ID=cds-pgaptmp_001581;Parent=gene-pgaptmp_001581;Name=extdb:pgaptmp_001581;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_007715325.1;locus_tag=pgaptmp_001581;product=hypothetical protein;protein_id=extdb:pgaptmp_001581;transl_table=11	hypothetical protein	1235793.C809_04674	1.28E-10	63.5	2BQPE@1|root,32JJU@2|Bacteria,1UGPH@1239|Firmicutes,25P7B@186801|Clostridia,27T09@186928|unclassified Lachnospiraceae	1235793.C809_04674|-																						
pgaptmp_001582	Protein Homology	CDS	91358	92035		+	0	ID=cds-pgaptmp_001582;Parent=gene-pgaptmp_001582;Name=extdb:pgaptmp_001582;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009298558.1;locus_tag=pgaptmp_001582;product=hypothetical protein;protein_id=extdb:pgaptmp_001582;transl_table=11	hypothetical protein	742740.HMPREF9474_01533	3.22E-102	302	2DUGE@1|root,33QIG@2|Bacteria,1UVCY@1239|Firmicutes,2578Z@186801|Clostridia	186801|Clostridia																						
pgaptmp_001583	Protein Homology	CDS	91992	92375		+	0	ID=cds-pgaptmp_001583;Parent=gene-pgaptmp_001583;Name=extdb:pgaptmp_001583;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003507726.1;locus_tag=pgaptmp_001583;product=hypothetical protein;protein_id=extdb:pgaptmp_001583;transl_table=11	hypothetical protein																											
pgaptmp_001584	GeneMarkS-2+	CDS	92595	92840		-	0	ID=cds-pgaptmp_001584;Parent=gene-pgaptmp_001584;Name=extdb:pgaptmp_001584;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=pgaptmp_001584;product=hypothetical protein;protein_id=extdb:pgaptmp_001584;transl_table=11	hypothetical protein	742740.HMPREF9474_01535	1.07E-55	174	COG0346@1|root,COG0346@2|Bacteria,1V48J@1239|Firmicutes,24MW3@186801|Clostridia	186801|Clostridia	E	cog cog0346													Glyoxalase							
pgaptmp_001586	Protein Homology	CDS	93638	94102		-	0	ID=cds-pgaptmp_001586;Parent=gene-pgaptmp_001586;Name=extdb:pgaptmp_001586;Ontology_term=GO:0003723;gbkey=CDS;gene=smpB;go_function=RNA binding|0003723||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003507728.1;locus_tag=pgaptmp_001586;product=SsrA-binding protein SmpB;protein_id=extdb:pgaptmp_001586;transl_table=11	SsrA-binding protein SmpB	742741.HMPREF9475_01531	1.34E-103	300	COG0691@1|root,COG0691@2|Bacteria,1V3IJ@1239|Firmicutes,24HD6@186801|Clostridia,21ZY8@1506553|Lachnoclostridium	186801|Clostridia	J	the 2 termini fold to resemble tRNA(Ala) and it encodes a tag peptide , a short internal open reading frame. During trans-translation Ala- aminoacylated tmRNA acts like a tRNA, entering the A-site of stalled ribosomes, displacing the stalled mRNA. The ribosome then switches to translate the ORF on the tmRNA	smpB			ko:K03664					ko00000				SmpB						K03664	smpB; SsrA-binding protein
pgaptmp_001587	Protein Homology	CDS	94132	96243		-	0	ID=cds-pgaptmp_001587;Parent=gene-pgaptmp_001587;Name=extdb:pgaptmp_001587;Ontology_term=GO:0003723,GO:0004518;gbkey=CDS;gene=rnr;go_function=RNA binding|0003723||IEA,nuclease activity|0004518||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003507729.1;locus_tag=pgaptmp_001587;product=ribonuclease R;protein_id=extdb:pgaptmp_001587;transl_table=11	ribonuclease R	742741.HMPREF9475_01532	0	1389	COG0557@1|root,COG0557@2|Bacteria,1TQ1G@1239|Firmicutes,247ZS@186801|Clostridia,21XUX@1506553|Lachnoclostridium	186801|Clostridia	J	3'-5' exoribonuclease that releases 5'-nucleoside monophosphates and is involved in maturation of structured RNAs	rnr			ko:K12573	ko03018,map03018				ko00000,ko00001,ko01000,ko03016,ko03019				OB_RNB,RNB,S1						K12573	rnr, vacB; ribonuclease R [EC:3.1.13.1]
pgaptmp_001588	Protein Homology	CDS	96572	96808		-	0	ID=cds-pgaptmp_001588;Parent=gene-pgaptmp_001588;Name=extdb:pgaptmp_001588;Ontology_term=GO:0015739,GO:0015136,GO:0016020;gbkey=CDS;gene=secG;go_component=membrane|0016020||IEA;go_function=sialic acid transmembrane transporter activity|0015136||IEA;go_process=sialic acid transport|0015739||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003507730.1;locus_tag=pgaptmp_001588;product=preprotein translocase subunit SecG;protein_id=extdb:pgaptmp_001588;transl_table=11	preprotein translocase subunit SecG	742741.HMPREF9475_01533	2.13E-44	144	COG1314@1|root,COG1314@2|Bacteria,1VG46@1239|Firmicutes,25N7S@186801|Clostridia,2212U@1506553|Lachnoclostridium	186801|Clostridia	U	Preprotein translocase SecG subunit	secG			ko:K03075	ko02024,ko03060,ko03070,map02024,map03060,map03070	M00335			ko00000,ko00001,ko00002,ko02044	3.A.5.1,3.A.5.2			SecG						K03075	secG; preprotein translocase subunit SecG
pgaptmp_001589	Protein Homology	CDS	96940	98082		-	0	ID=cds-pgaptmp_001589;Parent=gene-pgaptmp_001589;Name=extdb:pgaptmp_001589;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003507731.1;locus_tag=pgaptmp_001589;product=amidohydrolase family protein;protein_id=extdb:pgaptmp_001589;transl_table=11	amidohydrolase family protein	742741.HMPREF9475_01534	2.06E-281	768	COG3964@1|root,COG3964@2|Bacteria,1TPXM@1239|Firmicutes,24EFP@186801|Clostridia,2201R@1506553|Lachnoclostridium	186801|Clostridia	S	Amidohydrolase family			3.5.2.3	ko:K01465	ko00240,ko01100,map00240,map01100	M00051	R01993	RC00632	ko00000,ko00001,ko00002,ko01000				Amidohydro_1,Amidohydro_3							
pgaptmp_001590	Protein Homology	CDS	98105	99505		-	0	ID=cds-pgaptmp_001590;Parent=gene-pgaptmp_001590;Name=extdb:pgaptmp_001590;Ontology_term=GO:0015813,GO:0015501,GO:0016020;gbkey=CDS;go_component=membrane|0016020||IEA;go_function=glutamate:sodium symporter activity|0015501||IEA;go_process=L-glutamate transmembrane transport|0015813||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004462085.1;locus_tag=pgaptmp_001590;product=sodium/glutamate symporter;protein_id=extdb:pgaptmp_001590;transl_table=11	sodium/glutamate symporter	742741.HMPREF9475_01535	0	876	COG0786@1|root,COG0786@2|Bacteria,1U36J@1239|Firmicutes,24EF7@186801|Clostridia	186801|Clostridia	E	Sodium/glutamate symporter				ko:K03312					ko00000,ko02000	2.A.27			Glt_symporter	cc11824	ESS		sodium ion:glutamate symporter	2.A.27	K03312	gltS; glutamate:Na+ symporter, ESS family
pgaptmp_001591	Protein Homology	CDS	99530	100495		-	0	ID=cds-pgaptmp_001591;Parent=gene-pgaptmp_001591;Name=extdb:pgaptmp_001591;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003507733.1;locus_tag=pgaptmp_001591;product=2-hydroxyacid dehydrogenase;protein_id=extdb:pgaptmp_001591;transl_table=11	2-hydroxyacid dehydrogenase	742741.HMPREF9475_01536	2.58E-227	626	COG1052@1|root,COG1052@2|Bacteria,1TS88@1239|Firmicutes,25CB6@186801|Clostridia	186801|Clostridia	C	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain													2-Hacid_dh,2-Hacid_dh_C						K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
pgaptmp_001592	Protein Homology	CDS	100497	101510		-	0	ID=cds-pgaptmp_001592;Parent=gene-pgaptmp_001592;Name=extdb:pgaptmp_001592;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004462087.1;locus_tag=pgaptmp_001592;product=4-hydroxy-2-oxovalerate aldolase;protein_id=extdb:pgaptmp_001592;transl_table=11	4-hydroxy-2-oxovalerate aldolase	742741.HMPREF9475_01537	1.88E-212	590	COG0119@1|root,COG0119@2|Bacteria,1TS0A@1239|Firmicutes,2586W@186801|Clostridia,222Z2@1506553|Lachnoclostridium	186801|Clostridia	E	DmpG-like communication domain													DmpG_comm,HMGL-like						K01666	mhpE; 4-hydroxy 2-oxovalerate aldolase [EC:4.1.3.39]
pgaptmp_001593	Protein Homology	CDS	101766	103034		-	0	ID=cds-pgaptmp_001593;Parent=gene-pgaptmp_001593;Name=extdb:pgaptmp_001593;Ontology_term=GO:0006096,GO:0000287,GO:0004634,GO:0000015;gbkey=CDS;gene=eno;go_component=phosphopyruvate hydratase complex|0000015||IEA;go_function=magnesium ion binding|0000287||IEA,phosphopyruvate hydratase activity|0004634||IEA;go_process=glycolytic process|0006096||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003507735.1;locus_tag=pgaptmp_001593;product=phosphopyruvate hydratase;protein_id=extdb:pgaptmp_001593;transl_table=11	phosphopyruvate hydratase	742741.HMPREF9475_01538	1.2E-283	777	COG0148@1|root,COG0148@2|Bacteria,1TP2S@1239|Firmicutes,247TU@186801|Clostridia,21XMD@1506553|Lachnoclostridium	186801|Clostridia	G	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis	eno		4.2.1.11	ko:K01689	ko00010,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko03018,ko04066,map00010,map00680,map01100,map01110,map01120,map01130,map01200,map01230,map03018,map04066	M00001,M00002,M00003,M00346,M00394	R00658	RC00349	ko00000,ko00001,ko00002,ko01000,ko03019,ko04147				Enolase_C,Enolase_N						K01689	ENO1_2_3, eno; enolase 1/2/3 [EC:4.2.1.11]
pgaptmp_001594	Protein Homology	CDS	103178	104179		-	0	ID=cds-pgaptmp_001594;Parent=gene-pgaptmp_001594;Name=extdb:pgaptmp_001594;gbkey=CDS;inference=COORDINATES: protein motif:HMM:TIGR00254.1;locus_tag=pgaptmp_001594;product=diguanylate cyclase domain-containing protein;protein_id=extdb:pgaptmp_001594;transl_table=11	diguanylate cyclase domain-containing protein	742740.HMPREF9474_01544	1.16E-224	656	COG2200@1|root,COG2202@1|root,COG5001@1|root,COG2200@2|Bacteria,COG2202@2|Bacteria,COG5001@2|Bacteria,1TP8V@1239|Firmicutes,247PX@186801|Clostridia,21YMC@1506553|Lachnoclostridium	186801|Clostridia	T	Psort location Cytoplasmic, score													EAL,GGDEF,PAS_3,PAS_9							
pgaptmp_001595	Protein Homology	CDS	104176	105528		-	0	ID=cds-pgaptmp_001595;Parent=gene-pgaptmp_001595;Name=extdb:pgaptmp_001595;Ontology_term=GO:0007165,GO:0005515;gbkey=CDS;go_function=protein binding|0005515||IEA;go_process=signal transduction|0007165||IEA;inference=COORDINATES: protein motif:HMM:TIGR00229.1;locus_tag=pgaptmp_001595;product=PAS domain-containing protein;protein_id=extdb:pgaptmp_001595;transl_table=11	PAS domain-containing protein	742741.HMPREF9475_01539	0	904	COG2200@1|root,COG2202@1|root,COG2200@2|Bacteria,COG2202@2|Bacteria,1TS8B@1239|Firmicutes,24EZ4@186801|Clostridia,223QT@1506553|Lachnoclostridium	186801|Clostridia	T	EAL domain													EAL,GGDEF,PAS_3,SBP_bac_3							
pgaptmp_001596	Protein Homology	CDS	105546	107636		-	0	ID=cds-pgaptmp_001596;Parent=gene-pgaptmp_001596;Name=extdb:pgaptmp_001596;Ontology_term=GO:0005525,GO:0046872,GO:0052621,GO:0071111,GO:0005886;gbkey=CDS;go_component=plasma membrane|0005886||IEA;go_function=GTP binding|0005525||IEA,metal ion binding|0046872||IEA,diguanylate cyclase activity|0052621||IEA,cyclic-guanylate-specific phosphodiesterase activity|0071111||IEA;inference=COORDINATES: protein motif:HMM:NF012772.6;locus_tag=pgaptmp_001596;product=putative bifunctional diguanylate cyclase/phosphodiesterase;protein_id=extdb:pgaptmp_001596;transl_table=11	putative bifunctional diguanylate cyclase/phosphodiesterase	742741.HMPREF9475_01540	0	1406	COG2199@1|root,COG2200@1|root,COG2199@2|Bacteria,COG2200@2|Bacteria,1TS8B@1239|Firmicutes,24EZ4@186801|Clostridia,223QT@1506553|Lachnoclostridium	186801|Clostridia	T	EAL domain													EAL,GGDEF,PAS_3,PAS_9,SBP_bac_3							
pgaptmp_001597	Protein Homology	CDS	107717	110137		-	0	ID=cds-pgaptmp_001597;Parent=gene-pgaptmp_001597;Name=extdb:pgaptmp_001597;Ontology_term=GO:0006432,GO:0000287,GO:0004826,GO:0005524;gbkey=CDS;gene=pheT;go_function=magnesium ion binding|0000287||IEA,phenylalanine-tRNA ligase activity|0004826||IEA,ATP binding|0005524||IEA;go_process=phenylalanyl-tRNA aminoacylation|0006432||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_002575007.1;locus_tag=pgaptmp_001597;product=phenylalanine--tRNA ligase subunit beta;protein_id=extdb:pgaptmp_001597;transl_table=11	phenylalanine--tRNA ligase subunit beta	742741.HMPREF9475_01541	0	1602	COG0072@1|root,COG0072@2|Bacteria,1TP98@1239|Firmicutes,248BJ@186801|Clostridia,21YAF@1506553|Lachnoclostridium	186801|Clostridia	J	phenylalanyl-tRNA synthetase beta subunit	pheT	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	6.1.1.20	ko:K01890	ko00970,map00970	M00359,M00360	R03660	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016				B3_4,B5,FDX-ACB,tRNA-synt_2d,tRNA_bind						K01890	FARSB, pheT; phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]
pgaptmp_001598	Protein Homology	CDS	110317	111336		-	0	ID=cds-pgaptmp_001598;Parent=gene-pgaptmp_001598;Name=extdb:pgaptmp_001598;Ontology_term=GO:0006432,GO:0000166,GO:0004826,GO:0005524,GO:0005737;gbkey=CDS;gene=pheS;go_component=cytoplasm|0005737||IEA;go_function=nucleotide binding|0000166||IEA,phenylalanine-tRNA ligase activity|0004826||IEA,ATP binding|0005524||IEA;go_process=phenylalanyl-tRNA aminoacylation|0006432||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_007858698.1;locus_tag=pgaptmp_001598;product=phenylalanine--tRNA ligase subunit alpha;protein_id=extdb:pgaptmp_001598;transl_table=11	phenylalanine--tRNA ligase subunit alpha	742741.HMPREF9475_01542	1.79E-243	669	COG0016@1|root,COG0016@2|Bacteria,1TPFW@1239|Firmicutes,2486E@186801|Clostridia,21YGP@1506553|Lachnoclostridium	186801|Clostridia	J	phenylalanyl-tRNA synthetase (alpha subunit)	pheS		6.1.1.20	ko:K01889	ko00970,map00970	M00359,M00360	R03660	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016				Phe_tRNA-synt_N,tRNA-synt_2d						K01889	FARSA, pheS; phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]
pgaptmp_001599	Protein Homology	CDS	113064	114410		+	0	ID=cds-pgaptmp_001599;Parent=gene-pgaptmp_001599;Name=extdb:pgaptmp_001599;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009298547.1;locus_tag=pgaptmp_001599;product=hypothetical protein;protein_id=extdb:pgaptmp_001599;transl_table=11	hypothetical protein	742741.HMPREF9475_01544	0	873	COG4565@1|root,COG4565@2|Bacteria,1V2PC@1239|Firmicutes,24GSU@186801|Clostridia,22413@1506553|Lachnoclostridium	186801|Clostridia	KT	transcriptional regulatory protein																				
pgaptmp_001600	Protein Homology	CDS	114547	116844		-	0	ID=cds-pgaptmp_001600;Parent=gene-pgaptmp_001600;Name=extdb:pgaptmp_001600;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004462094.1;locus_tag=pgaptmp_001600;product=hydratase;protein_id=extdb:pgaptmp_001600;transl_table=11	hydratase	742741.HMPREF9475_01545	0	1536	COG1048@1|root,COG1048@2|Bacteria,1VTMM@1239|Firmicutes,25HJM@186801|Clostridia,21XWN@1506553|Lachnoclostridium	186801|Clostridia	C	Psort location Cytoplasmic, score			4.2.1.3	ko:K01681	ko00020,ko00630,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01230,map00020,map00630,map00720,map01100,map01110,map01120,map01130,map01200,map01210,map01230	M00009,M00010,M00012,M00173,M00740	R01324,R01325,R01900	RC00497,RC00498,RC00618	br01601,ko00000,ko00001,ko00002,ko01000				Aconitase,Aconitase_C							
