locus_tag	seqid_pgap	source_pgap	type_pgap	start_pgap	end_pgap	score_pgap	strand_pgap	phase_pgap	attributes_pgap	product_pgap	seed_ortholog_eggnog	evalue_eggnog	score_eggnog	eggNOG_OGs_eggnog	max_annot_lvl_eggnog	COG_category_eggnog	Description_eggnog	Preferred_name_eggnog	GOs_eggnog	EC_eggnog	KEGG_ko_eggnog	KEGG_Pathway_eggnog	KEGG_Module_eggnog	KEGG_Reaction_eggnog	KEGG_rclass_eggnog	BRITE_eggnog	KEGG_TC_eggnog	CAZy_eggnog	BiGG_Reaction_eggnog	PFAMs_eggnog	GenomeID_transapp	FID_transapp	Subfamily_transapp	Substrate/Function_transapp	ID_tcdb_org_transapp	KO_blastkoala	KO_definition_blastkoala
pgaptmp_000975	contig45	Protein Homology	CDS	43418	44293		-	0	ID=cds-pgaptmp_000975;Parent=gene-pgaptmp_000975;Name=extdb:pgaptmp_000975;Ontology_term=GO:0016655;gbkey=CDS;go_function=oxidoreductase activity%2C acting on NAD(P)H%2C quinone or similar compound as acceptor|0016655||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003566762.1;locus_tag=pgaptmp_000975;product=SDR family oxidoreductase;protein_id=extdb:pgaptmp_000975;transl_table=11	SDR family oxidoreductase	543734.LCABL_22880	2.85E-209	578	COG0702@1|root,COG0702@2|Bacteria,1UY7W@1239|Firmicutes,4HDIS@91061|Bacilli,3F4M7@33958|Lactobacillaceae	91061|Bacilli	GM	NmrA-like family													NAD_binding_10,NmrA							
pgaptmp_000976	contig45	Protein Homology	CDS	44374	45555		-	0	ID=cds-pgaptmp_000976;Parent=gene-pgaptmp_000976;Name=extdb:pgaptmp_000976;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003566763.1;locus_tag=pgaptmp_000976;product=class I SAM-dependent methyltransferase;protein_id=extdb:pgaptmp_000976;transl_table=11	class I SAM-dependent methyltransferase	543734.LCABL_22890	9.32E-296	805	COG2230@1|root,COG2230@2|Bacteria,1TSG4@1239|Firmicutes,4HDKI@91061|Bacilli,3F3PA@33958|Lactobacillaceae	91061|Bacilli	M	cyclopropane-fatty-acyl-phospholipid synthase	cfa		2.1.1.79	ko:K00574					ko00000,ko01000				CMAS						K00574	cfa; cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]
pgaptmp_000977	contig45	Protein Homology	CDS	45655	46428		-	0	ID=cds-pgaptmp_000977;Parent=gene-pgaptmp_000977;Name=extdb:pgaptmp_000977;Ontology_term=GO:0006633,GO:0016743,GO:0009317;gbkey=CDS;gene=accA;go_component=acetyl-CoA carboxylase complex|0009317||IEA;go_function=carboxyl- or carbamoyltransferase activity|0016743||IEA;go_process=fatty acid biosynthetic process|0006633||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003603025.1;locus_tag=pgaptmp_000977;product=carboxyltransferase subunit alpha;protein_id=extdb:pgaptmp_000977;transl_table=11	carboxyltransferase subunit alpha	543734.LCABL_22900	3.99E-183	509	COG0825@1|root,COG0825@2|Bacteria,1UHNS@1239|Firmicutes,4HA4C@91061|Bacilli,3F496@33958|Lactobacillaceae	91061|Bacilli	I	alpha subunit	accA		2.1.3.15,6.4.1.2	ko:K01962	ko00061,ko00620,ko00640,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,map00061,map00620,map00640,map00720,map01100,map01110,map01120,map01130,map01200,map01212	M00082,M00376	R00742,R04386	RC00040,RC00253,RC00367	ko00000,ko00001,ko00002,ko01000				ACCA						K01962	accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]
pgaptmp_000978	contig45	Protein Homology	CDS	46581	47396		-	0	ID=cds-pgaptmp_000978;Parent=gene-pgaptmp_000978;Name=extdb:pgaptmp_000978;Ontology_term=GO:0006633,GO:0003989,GO:0009317;gbkey=CDS;gene=accD;go_component=acetyl-CoA carboxylase complex|0009317||IEA;go_function=acetyl-CoA carboxylase activity|0003989||IEA;go_process=fatty acid biosynthetic process|0006633||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003580336.1;locus_tag=pgaptmp_000978;product=acetyl-CoA carboxylase%2C carboxyltransferase subunit beta;protein_id=extdb:pgaptmp_000978;transl_table=11	acetyl-CoA carboxylase%2C carboxyltransferase subunit beta	543734.LCABL_22910	8.74E-194	537	COG0777@1|root,COG0777@2|Bacteria,1TP4U@1239|Firmicutes,4HAI7@91061|Bacilli,3F3T6@33958|Lactobacillaceae	91061|Bacilli	I	Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase (BC) catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the transcarboxylase to acetyl-CoA to form malonyl- CoA	accD		2.1.3.15,6.4.1.2	ko:K01963	ko00061,ko00620,ko00640,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,map00061,map00620,map00640,map00720,map01100,map01110,map01120,map01130,map01200,map01212	M00082,M00376	R00742,R04386	RC00040,RC00253,RC00367	ko00000,ko00001,ko00002,ko01000				Carboxyl_trans						K01963	accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]
pgaptmp_000979	contig45	Protein Homology	CDS	47640	49004		-	0	ID=cds-pgaptmp_000979;Parent=gene-pgaptmp_000979;Name=extdb:pgaptmp_000979;Ontology_term=GO:0005524,GO:0016874;gbkey=CDS;go_function=ATP binding|0005524||IEA,ligase activity|0016874||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003606951.1;locus_tag=pgaptmp_000979;product=acetyl-CoA carboxylase biotin carboxylase subunit;protein_id=extdb:pgaptmp_000979;transl_table=11	acetyl-CoA carboxylase biotin carboxylase subunit	543734.LCABL_22920	0	892	COG0439@1|root,COG0439@2|Bacteria,1TP16@1239|Firmicutes,4HARK@91061|Bacilli,3F3PT@33958|Lactobacillaceae	91061|Bacilli	I	Acetyl-CoA carboxylase biotin carboxylase subunit	accC		6.3.4.14,6.4.1.2	ko:K01961	ko00061,ko00620,ko00640,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,map00061,map00620,map00640,map00720,map01100,map01110,map01120,map01130,map01200,map01212	M00082,M00376	R00742,R04385	RC00040,RC00253,RC00367	ko00000,ko00001,ko00002,ko01000				Biotin_carb_C,Biotin_carb_N,CPSase_L_D2						K01961	accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]
pgaptmp_000980	contig45	Protein Homology	CDS	49045	49485		-	0	ID=cds-pgaptmp_000980;Parent=gene-pgaptmp_000980;Name=extdb:pgaptmp_000980;gbkey=CDS;gene=fabZ;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003566768.1;locus_tag=pgaptmp_000980;product=3-hydroxyacyl-ACP dehydratase FabZ;protein_id=extdb:pgaptmp_000980;transl_table=11	3-hydroxyacyl-ACP dehydratase FabZ	568703.LGG_02113	5.36E-97	282	COG0764@1|root,COG0764@2|Bacteria,1V6EX@1239|Firmicutes,4HGX1@91061|Bacilli,3F5EE@33958|Lactobacillaceae	91061|Bacilli	I	Involved in unsaturated fatty acids biosynthesis. Catalyzes the dehydration of short chain beta-hydroxyacyl-ACPs and long chain saturated and unsaturated beta-hydroxyacyl-ACPs	fabZ		4.2.1.59	ko:K02372	ko00061,ko00780,ko01100,ko01212,map00061,map00780,map01100,map01212	M00083,M00572	R04428,R04535,R04537,R04544,R04568,R04954,R04965,R07764,R10117,R10121	RC00831,RC01095	ko00000,ko00001,ko00002,ko01000,ko01004				FabA						K02372	fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]
pgaptmp_000981	contig45	Protein Homology	CDS	49598	50047		-	0	ID=cds-pgaptmp_000981;Parent=gene-pgaptmp_000981;Name=extdb:pgaptmp_000981;Ontology_term=GO:0006633,GO:0003989,GO:0009317;gbkey=CDS;gene=accB;go_component=acetyl-CoA carboxylase complex|0009317||IEA;go_function=acetyl-CoA carboxylase activity|0003989||IEA;go_process=fatty acid biosynthetic process|0006633||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003566769.1;locus_tag=pgaptmp_000981;product=acetyl-CoA carboxylase biotin carboxyl carrier protein;protein_id=extdb:pgaptmp_000981;transl_table=11	acetyl-CoA carboxylase biotin carboxyl carrier protein	543734.LCABL_22940	2.52E-92	271	COG0511@1|root,COG0511@2|Bacteria,1VAB7@1239|Firmicutes,4HKCS@91061|Bacilli,3F7M1@33958|Lactobacillaceae	91061|Bacilli	I	first, biotin carboxylase catalyzes the carboxylation of the carrier protein and then the transcarboxylase transfers the carboxyl group to form malonyl-CoA	accB			ko:K02160	ko00061,ko00620,ko00640,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,map00061,map00620,map00640,map00720,map01100,map01110,map01120,map01130,map01200,map01212	M00082,M00376	R00742	RC00040,RC00367	ko00000,ko00001,ko00002				Biotin_lipoyl						K02160	accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein
pgaptmp_000982	contig45	Protein Homology	CDS	50053	51273		-	0	ID=cds-pgaptmp_000982;Parent=gene-pgaptmp_000982;Name=extdb:pgaptmp_000982;Ontology_term=GO:0006633,GO:0004315;gbkey=CDS;gene=fabF;go_function=3-oxoacyl-[acyl-carrier-protein] synthase activity|0004315||IEA;go_process=fatty acid biosynthetic process|0006633||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003605715.1;locus_tag=pgaptmp_000982;product=beta-ketoacyl-ACP synthase II;protein_id=extdb:pgaptmp_000982;transl_table=11	beta-ketoacyl-ACP synthase II	543734.LCABL_22950	2.33E-282	773	COG0304@1|root,COG0304@2|Bacteria,1TPA7@1239|Firmicutes,4H9SD@91061|Bacilli,3F51H@33958|Lactobacillaceae	91061|Bacilli	I	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP	fabF		2.3.1.179	ko:K09458	ko00061,ko00780,ko01100,ko01212,map00061,map00780,map01100,map01212	M00083,M00572	R04355,R04726,R04952,R04957,R04960,R04963,R04968,R07762,R10115,R10119	RC00039,RC02728,RC02729,RC02888	ko00000,ko00001,ko00002,ko01000,ko01004				Ketoacyl-synt_C,ketoacyl-synt						K09458	fabF, OXSM, CEM1; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]
pgaptmp_000983	contig45	Protein Homology	CDS	51296	52024		-	0	ID=cds-pgaptmp_000983;Parent=gene-pgaptmp_000983;Name=extdb:pgaptmp_000983;Ontology_term=GO:0016491;gbkey=CDS;gene=fabG;go_function=oxidoreductase activity|0016491||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_016388755.1;locus_tag=pgaptmp_000983;product=3-oxoacyl-ACP reductase FabG;protein_id=extdb:pgaptmp_000983;transl_table=11	3-oxoacyl-ACP reductase FabG	543734.LCABL_22960	1.13E-161	454	COG1028@1|root,COG1028@2|Bacteria,1TP76@1239|Firmicutes,4HAA6@91061|Bacilli,3F4RI@33958|Lactobacillaceae	91061|Bacilli	IQ	reductase	fabG	GO:0000166,GO:0003674,GO:0003824,GO:0004312,GO:0004316,GO:0005488,GO:0006082,GO:0006629,GO:0006631,GO:0006633,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009987,GO:0016053,GO:0016491,GO:0016614,GO:0016616,GO:0016740,GO:0016746,GO:0016747,GO:0019752,GO:0030497,GO:0032787,GO:0036094,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0046394,GO:0048037,GO:0050661,GO:0050662,GO:0055114,GO:0071704,GO:0072330,GO:0097159,GO:1901265,GO:1901363,GO:1901576	1.1.1.100	ko:K00059	ko00061,ko00333,ko00780,ko01040,ko01100,ko01130,ko01212,map00061,map00333,map00780,map01040,map01100,map01130,map01212	M00083,M00572	R04533,R04534,R04536,R04543,R04566,R04953,R04964,R07759,R07763,R10116,R10120,R11671	RC00029,RC00117	ko00000,ko00001,ko00002,ko01000,ko01004			iYO844.BSU15910	adh_short_C2						K00059	fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
pgaptmp_000984	contig45	Protein Homology	CDS	52021	52944		-	0	ID=cds-pgaptmp_000984;Parent=gene-pgaptmp_000984;Name=extdb:pgaptmp_000984;Ontology_term=GO:0006633,GO:0004314,GO:0016740;gbkey=CDS;go_function=[acyl-carrier-protein] S-malonyltransferase activity|0004314||IEA,transferase activity|0016740||IEA;go_process=fatty acid biosynthetic process|0006633||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003595643.1;locus_tag=pgaptmp_000984;product=ACP S-malonyltransferase;protein_id=extdb:pgaptmp_000984;transl_table=11	ACP S-malonyltransferase	543734.LCABL_22970	1.15E-207	575	COG0331@1|root,COG0331@2|Bacteria,1TPB7@1239|Firmicutes,4HBCU@91061|Bacilli,3F3W9@33958|Lactobacillaceae	91061|Bacilli	I	Malonyl CoA-acyl carrier protein transacylase	fabD		2.3.1.39	ko:K00645,ko:K15327,ko:K15329	ko00061,ko00333,ko01100,ko01130,ko01212,map00061,map00333,map01100,map01130,map01212	M00082	R01626,R11671	RC00004,RC00039,RC02727	ko00000,ko00001,ko00002,ko01000,ko01004,ko01008				Acyl_transf_1						K00645	fabD, MCAT, MCT1; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]
pgaptmp_000985	contig45	Protein Homology	CDS	52981	53967		-	0	ID=cds-pgaptmp_000985;Parent=gene-pgaptmp_000985;Name=extdb:pgaptmp_000985;Ontology_term=GO:0018580;gbkey=CDS;go_function=nitronate monooxygenase activity|0018580||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003566773.1;locus_tag=pgaptmp_000985;product=nitronate monooxygenase;protein_id=extdb:pgaptmp_000985;transl_table=11	nitronate monooxygenase	543734.LCABL_22980	3.21E-220	609	COG2070@1|root,COG2070@2|Bacteria,1TPC3@1239|Firmicutes,4H9T0@91061|Bacilli,3F4PC@33958|Lactobacillaceae	91061|Bacilli	S	Nitronate monooxygenase	fabK		1.3.1.9	ko:K02371	ko00061,ko01100,ko01212,map00061,map01100,map01212	M00083	R04429,R04724,R04955,R04958,R04961,R04966,R04969,R07765	RC00052,RC00076	ko00000,ko00001,ko00002,ko01000,ko01004				NMO						K02371	fabK; enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9]
pgaptmp_000986	contig45	Protein Homology	CDS	53991	54230		-	0	ID=cds-pgaptmp_000986;Parent=gene-pgaptmp_000986;Name=extdb:pgaptmp_000986;Ontology_term=GO:0006633,GO:0009245,GO:0000035,GO:0000036;gbkey=CDS;go_function=acyl binding|0000035||IEA,acyl carrier activity|0000036||IEA;go_process=fatty acid biosynthetic process|0006633||IEA,lipid A biosynthetic process|0009245||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003566774.1;locus_tag=pgaptmp_000986;product=acyl carrier protein;protein_id=extdb:pgaptmp_000986;transl_table=11	acyl carrier protein	543734.LCABL_22990	2.78E-45	146	COG0236@1|root,COG0236@2|Bacteria,1VGIY@1239|Firmicutes,4HP0V@91061|Bacilli,3F7ZJ@33958|Lactobacillaceae	91061|Bacilli	IQ	Carrier of the growing fatty acid chain in fatty acid biosynthesis	acpP	GO:0000035,GO:0000036,GO:0003674,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0006082,GO:0006629,GO:0006631,GO:0006633,GO:0006643,GO:0006644,GO:0006664,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008610,GO:0008654,GO:0009058,GO:0009245,GO:0009247,GO:0009311,GO:0009312,GO:0009987,GO:0016051,GO:0016053,GO:0019637,GO:0019752,GO:0019842,GO:0031177,GO:0032787,GO:0033218,GO:0036094,GO:0043167,GO:0043168,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0044620,GO:0046394,GO:0046467,GO:0046493,GO:0048037,GO:0051192,GO:0071704,GO:0072330,GO:0072341,GO:0090407,GO:0140104,GO:1901135,GO:1901137,GO:1901269,GO:1901271,GO:1901576,GO:1903509		ko:K02078					ko00000,ko00001				PP-binding						K02078	acpP, acpM; acyl carrier protein
pgaptmp_000987	contig45	Protein Homology	CDS	54334	55296		-	0	ID=cds-pgaptmp_000987;Parent=gene-pgaptmp_000987;Name=extdb:pgaptmp_000987;Ontology_term=GO:0006633,GO:0004315,GO:0016746,GO:0033818;gbkey=CDS;go_function=3-oxoacyl-[acyl-carrier-protein] synthase activity|0004315||IEA,acyltransferase activity|0016746||IEA,beta-ketoacyl-acyl-carrier-protein synthase III activity|0033818||IEA;go_process=fatty acid biosynthetic process|0006633||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003580349.1;locus_tag=pgaptmp_000987;product=beta-ketoacyl-ACP synthase III;protein_id=extdb:pgaptmp_000987;transl_table=11	beta-ketoacyl-ACP synthase III	543734.LCABL_23000	1.61E-225	622	COG0332@1|root,COG0332@2|Bacteria,1TP0K@1239|Firmicutes,4HATK@91061|Bacilli,3F3XP@33958|Lactobacillaceae	91061|Bacilli	I	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Its substrate specificity determines the biosynthesis of branched- chain and or straight-chain of fatty acids	fabH		2.3.1.180	ko:K00648	ko00061,ko01100,ko01212,map00061,map01100,map01212	M00082,M00083	R10707	RC00004,RC02729,RC02888	ko00000,ko00001,ko00002,ko01000,ko01004				ACP_syn_III,ACP_syn_III_C						K00648	fabH; 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]
pgaptmp_000988	contig45	Protein Homology	CDS	55312	55761		-	0	ID=cds-pgaptmp_000988;Parent=gene-pgaptmp_000988;Name=extdb:pgaptmp_000988;Ontology_term=GO:0006355,GO:0003700;gbkey=CDS;go_function=DNA-binding transcription factor activity|0003700||IEA;go_process=regulation of DNA-templated transcription|0006355||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003571039.1;locus_tag=pgaptmp_000988;product=MarR family winged helix-turn-helix transcriptional regulator;protein_id=extdb:pgaptmp_000988;transl_table=11	MarR family winged helix-turn-helix transcriptional regulator	1423816.BACQ01000050_gene1915	8.17E-98	285	COG1846@1|root,COG1846@2|Bacteria,1V6GY@1239|Firmicutes,4IR3W@91061|Bacilli,3FC7M@33958|Lactobacillaceae	91061|Bacilli	K	Winged helix DNA-binding domain													MarR							
pgaptmp_000989	contig45	Protein Homology	CDS	55832	56269		-	0	ID=cds-pgaptmp_000989;Parent=gene-pgaptmp_000989;Name=extdb:pgaptmp_000989;Ontology_term=GO:0006633;gbkey=CDS;go_process=fatty acid biosynthetic process|0006633||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003595647.1;locus_tag=pgaptmp_000989;product=3-hydroxyacyl-ACP dehydratase FabZ family protein;protein_id=extdb:pgaptmp_000989;transl_table=11	3-hydroxyacyl-ACP dehydratase FabZ family protein	543734.LCABL_23020	6.79E-95	277	COG0764@1|root,COG0764@2|Bacteria,1V3UN@1239|Firmicutes,4HHYD@91061|Bacilli,3F77T@33958|Lactobacillaceae	91061|Bacilli	I	FabA-like domain			4.2.1.59	ko:K02372	ko00061,ko00780,ko01100,ko01212,map00061,map00780,map01100,map01212	M00083,M00572	R04428,R04535,R04537,R04544,R04568,R04954,R04965,R07764,R10117,R10121	RC00831,RC01095	ko00000,ko00001,ko00002,ko01000,ko01004				FabA						K02372	fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]
pgaptmp_000990	contig45	Protein Homology	CDS	56884	57867		-	0	ID=cds-pgaptmp_000990;Parent=gene-pgaptmp_000990;Name=extdb:pgaptmp_000990;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_012491846.1;locus_tag=pgaptmp_000990;product=alpha/beta fold hydrolase;protein_id=extdb:pgaptmp_000990;transl_table=11	alpha/beta fold hydrolase	543734.LCABL_23030	6E-245	671	COG2021@1|root,COG2021@2|Bacteria,1UM05@1239|Firmicutes,4ITNF@91061|Bacilli,3F97M@33958|Lactobacillaceae	91061|Bacilli	E	Alpha/beta hydrolase family													Abhydrolase_1							
pgaptmp_000991	contig45	Protein Homology	CDS	57931	59124		-	0	ID=cds-pgaptmp_000991;Parent=gene-pgaptmp_000991;Name=extdb:pgaptmp_000991;Ontology_term=GO:0004022,GO:0018455,GO:0030554,GO:0046872;gbkey=CDS;go_function=alcohol dehydrogenase (NAD+) activity|0004022||IEA,alcohol dehydrogenase [NAD(P)+] activity|0018455||IEA,adenyl nucleotide binding|0030554||IEA,metal ion binding|0046872||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_016385812.1;locus_tag=pgaptmp_000991;product=iron-containing alcohol dehydrogenase;protein_id=extdb:pgaptmp_000991;transl_table=11	iron-containing alcohol dehydrogenase	543734.LCABL_23040	2.17E-287	785	COG1979@1|root,COG1979@2|Bacteria,1TPS3@1239|Firmicutes,4H9TR@91061|Bacilli,3F4VF@33958|Lactobacillaceae	91061|Bacilli	C	Iron-containing alcohol dehydrogenase													Fe-ADH							
pgaptmp_000992	contig45	Protein Homology	CDS	59439	59538		+	0	ID=cds-pgaptmp_000992;Parent=gene-pgaptmp_000992;Name=extdb:pgaptmp_000992;end_range=59538,.;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_016387895.1;locus_tag=pgaptmp_000992;partial=true;product=helix-turn-helix domain-containing protein;protein_id=extdb:pgaptmp_000992;transl_table=11	helix-turn-helix domain-containing protein	543734.LCABL_29430	3.56E-13	67.8	COG2826@1|root,COG2826@2|Bacteria,1TRSF@1239|Firmicutes,4HDM3@91061|Bacilli,3F3UG@33958|Lactobacillaceae	91061|Bacilli	L	PFAM Integrase, catalytic core				ko:K07482					ko00000				HTH_38,rve							
pgaptmp_000510	contig129_(reversed)	Protein Homology	CDS	1	117		+	0	ID=cds-pgaptmp_000510;Parent=gene-pgaptmp_000510;Name=extdb:pgaptmp_000510;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_016387895.1;locus_tag=pgaptmp_000510;partial=true;product=IS30 family transposase;protein_id=extdb:pgaptmp_000510;start_range=.,1;transl_table=11	IS30 family transposase	1423732.BALS01000055_gene2722	7.16E-18	80.9	COG2826@1|root,COG2826@2|Bacteria,1TRSF@1239|Firmicutes,4HDM3@91061|Bacilli,3F3UG@33958|Lactobacillaceae	91061|Bacilli	L	PFAM Integrase, catalytic core				ko:K07482					ko00000				HTH_38,rve							
pgaptmp_000511	contig129_(reversed)	Protein Homology	CDS	178	369		-	0	ID=cds-pgaptmp_000511;Parent=gene-pgaptmp_000511;Name=extdb:pgaptmp_000511;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003566781.1;locus_tag=pgaptmp_000511;product=hypothetical protein;protein_id=extdb:pgaptmp_000511;transl_table=11	hypothetical protein	568703.LGG_02128	1.42E-31	110	2AI31@1|root,318GU@2|Bacteria,1U7W4@1239|Firmicutes,4IHTI@91061|Bacilli,3FA8Y@33958|Lactobacillaceae	91061|Bacilli																						
pgaptmp_000512	contig129_(reversed)	Protein Homology	CDS	476	775		-	0	ID=cds-pgaptmp_000512;Parent=gene-pgaptmp_000512;Name=extdb:pgaptmp_000512;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_016382462.1;locus_tag=pgaptmp_000512;product=DUF2316 family protein;protein_id=extdb:pgaptmp_000512;transl_table=11	DUF2316 family protein	543734.LCABL_23070	3.45E-64	196	COG4367@1|root,COG4367@2|Bacteria,1VGC1@1239|Firmicutes,4HQJ6@91061|Bacilli,3F89N@33958|Lactobacillaceae	91061|Bacilli	S	Uncharacterized protein conserved in bacteria (DUF2316)													DUF2316							
pgaptmp_000513	contig129_(reversed)	Protein Homology	CDS	815	1228		-	0	ID=cds-pgaptmp_000513;Parent=gene-pgaptmp_000513;Name=extdb:pgaptmp_000513;Ontology_term=GO:0006355,GO:0003700;gbkey=CDS;go_function=DNA-binding transcription factor activity|0003700||IEA;go_process=regulation of DNA-templated transcription|0006355||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003580367.1;locus_tag=pgaptmp_000513;product=MarR family winged helix-turn-helix transcriptional regulator;protein_id=extdb:pgaptmp_000513;transl_table=11	MarR family winged helix-turn-helix transcriptional regulator	543734.LCABL_23080	7.81E-88	258	COG1846@1|root,COG1846@2|Bacteria,1VMZX@1239|Firmicutes,4HMTC@91061|Bacilli,3FBM2@33958|Lactobacillaceae	91061|Bacilli	K	MarR family				ko:K18909		M00705			ko00000,ko00002,ko01504,ko03000				MarR,MarR_2							
pgaptmp_000514	contig129_(reversed)	Protein Homology	CDS	1519	2307		-	0	ID=cds-pgaptmp_000514;Parent=gene-pgaptmp_000514;Name=extdb:pgaptmp_000514;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011674777.1;locus_tag=pgaptmp_000514;product=zinc-ribbon domain-containing protein;protein_id=extdb:pgaptmp_000514;transl_table=11	zinc-ribbon domain-containing protein	1423734.JCM14202_162	1.97E-13	77.4	COG4640@1|root,COG4640@2|Bacteria,1UYJN@1239|Firmicutes,4HF8I@91061|Bacilli,3FBEE@33958|Lactobacillaceae	91061|Bacilli	S	response to antibiotic	tcaA			ko:K21463					ko00000				zf-ribbon_3,zinc_ribbon_2							
pgaptmp_002185	contig66_(reversed)	Protein Homology	CDS	136	1143		-	0	ID=cds-pgaptmp_002185;Parent=gene-pgaptmp_002185;Name=extdb:pgaptmp_002185;Ontology_term=GO:0016787;gbkey=CDS;go_function=hydrolase activity|0016787||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_016376393.1;locus_tag=pgaptmp_002185;product=alpha/beta hydrolase;protein_id=extdb:pgaptmp_002185;transl_table=11	alpha/beta hydrolase	543734.LCABL_23100	4.14E-215	597	COG0627@1|root,COG0627@2|Bacteria,1V856@1239|Firmicutes,4HVCY@91061|Bacilli,3F5Y5@33958|Lactobacillaceae	91061|Bacilli	S	Putative esterase													Esterase							
pgaptmp_002186	contig66_(reversed)	Protein Homology	CDS	1310	2407		-	0	ID=cds-pgaptmp_002186;Parent=gene-pgaptmp_002186;Name=extdb:pgaptmp_002186;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_016388213.1;locus_tag=pgaptmp_002186;product=zinc-ribbon domain-containing protein;protein_id=extdb:pgaptmp_002186;transl_table=11	zinc-ribbon domain-containing protein	543734.LCABL_23110	4.12E-253	695	28USJ@1|root,2ZGWS@2|Bacteria,1W533@1239|Firmicutes,4I1UJ@91061|Bacilli	91061|Bacilli															zinc_ribbon_2							
